playerID,name
3105,Egor Sorokin
3106,Maksim Batov
3107,Artur Tlisov
3108,Vladislav Kulik
3109,Nikita Khaykin
3110,Yury Zavezyon
3111,Artur Jedrzejczyk
3112,Konstantin Troyanov
3113,Vyacheslav Zinkov
3114,Dmitri Verkhovtsov
3115,Evgeny Osipov
3116,Semen Fomin
3117,Vagiz Galiulin
3119,Tedore Grigalashvili
3120,Khalid Shakhtiev
3132,Nicolás Canales
3139,Evgeny Zharikov
3144,Andrés Prydiuk
3146,Alexey Tataev
3153,Evgeni Shetinin
3154,Vladislav Nurgaleev
3166,Roman Kalyuzhny
3169,Ruslan Suanov
3171,Denis Kavlinov
3173,Dmitri Goryachkin
3175,Ivan Knyazev
3180,Artem Vyatkin
3184,Oleg Roganov
3195,Daniel Ermakov
3197,Eugenii Shumihin
3199,Andrey Mironov
3200,Alexander Kuznetsov
3232,Olivier Sorin
3234,Sega Coulibaly
3267,Lucas Bobe
3365,Steeve Elana
3385,Yohan Campanini
3450,Franck Grandel
3541,Charles Vittini
3594,Matteo Petitgenet
3615,Douti Gbampok
3616,Come Casanova
3617,Ghjuvan Andria Piereschi
3619,Sullivan Martinet
3624,Florian Le Joncour
3637,Corentin Tirard
3648,Andre Zambo Anguissa
3650,Florian Escales
3651,Jeff Louis
3652,Enock Kwateng
3653,Jeremie Bréchet
3654,Dorian Lévêque
3656,Yhoan Andzouana
3659,Christopher Maboulou
3660,Ismael Diallo
3661,Kermit Erasmus
3662,Edvinas Gertmonas
3663,Grejohn Kyei
3664,Frédéric Bulot
3665,Nicolas Lemaitre
3666,Anthony Weber
3667,Nabil Fekir
3668,Jonathan Delaplace
3669,Valentin Voisin
3670,Nicolas Pallois
3671,Robin Maulun
3672,Nicolas Douchez
3673,Valentin Rongier
3674,Abdoulaye Touré
3675,Quentin Braat
3676,Erwin Koffi
3677,Wesley Lautoa
3678,Issam Ben Khemis
3679,Hamadou Karamoko
3680,Bradley Mazikou
3681,Rincon
3683,Ivan Cavaleiro
3684,Mahamadou N'Diaye
3685,Pantxi Sirieix
3686,Pavle Ninkov
3687,Yassine Jebbour
3688,Mamadou Samassa
3689,Loic Perrin
3690,Pierre-Yves Polomat
3691,Robert Beric
3692,Franck Beria
3716,Mihai Roman
3718,Alec Georgen
3723,Julien Benhaim
3725,Baba Traore
3735,Julien Da Costa
3752,Lucas Mocio
3760,Anthony Lamonge
3761,Andrea Gambetta
3765,Thomas Biancardini
3768,Bilel Mohsni
3775,Marc Vidal
3777,Judicael Boizart
3779,Raphael Diarra
3780,Jonathan Mexique
3782,Edgar Alexandre
3790,Numan Bostan
3793,Charly Beber Serreri
3794,Ibrahima Sy
3796,Denis Bouanga
3797,Simon Lefebvre
3798,Adama Ba
3803,Rashade Sido
3806,Alphousseyni Sane
3808,Victor Paillon
3827,Matteo Biggeri
3828,Andrea Gemignani
3840,Pavol Bajza
3844,Danilo Ortíz
3846,Milan Milanovic
3867,Gianmarco Celeste
3874,Armando Vajushi
3881,Marco Soprano
3883,Alberto Frison
3892,Riccardo Bertozzi
3900,Lorenzo Ferrari
3902,Andrej Modic
3903,Stefano Gori
3911,Davide Merelli
3916,Werther Carboni
3917,Mattia Muroni
3918,Ivan Prtajin
3919,Marcello Sereni
3920,Lorenzo Benucci
3921,Andrea Mandelli
3926,Davide Mordini
3930,Janis Cavagna
3934,Giacomo Sciacca
3935,Luca Ravanelli
3939,Nikita Contini
3940,Pierluigi Cappelluzzo
3941,Andrea Accardi
3942,Mattia Del Favero
3944,Ciro Polito
3945,Armando Prisco
3946,Andrea Gulli
3947,Sebastián Gamarra
3949,Andrea Zaccagno
3950,Claudio Morra
3952,Matteo Gasperi
3953,Abass Alhassan
3954,Mario Piccinocchi
3955,Myles Anderson
3956,Andrea Palazzi
3957,Lorenzo Caselli
3959,Diego Rossetto
3963,Riccardo Gaiola
3966,Davide Lodesani
3968,Bruno Uvini
3969,Alberto Iglio
3971,Ismael Sliti-Taider
3972,Samuele Massolo
3974,Tomas Vestenicky
3975,Jadson
3976,Karlo Lulic
3977,Marijan Coric
3980,Diego Borghini
3982,Nabil Jaadi
3984,Michael Agazzi
3991,Filippo Boni
3993,Marko Marin
3994,Lorenzo Bardini
3996,Alessandro Capello
3999,Antonio Vutov
4006,Matteo Franchetti
4007,Romano Perticone
4013,Alessio Agrifogli
4014,Ettore Gliozzi
4015,Emanuele Rovini
4018,Badara Sarr
4020,Cristiano Lupatelli
4021,Tomasz Kupisz
4023,Ignacio Jeraldino
4025,Davide Zuccolini
4028,Alessandro Salvetti
4030,Giacomo Volpe
4033,Marko Vesovic
4035,Solomon Nyantakyi
4040,Samu
4053,Yeray
4055,Dani Estrada
4057,Oyarzun
4058,Cousillas
4098,Derik
4100,Borja López
4147,Bernabé Barragán
4149,Pedro Astray
4161,Moha
4165,Txusta
4166,Charlie Took
4171,Flavio Ferreira
4172,José Ángel
4174,José Fran
4179,Marcelo Djalo
4187,Peral
4195,Nacho Porcar
4198,Jonathan Bijimine
4200,Sanz
4201,Fran Morante
4203,Villalón
4204,Javi Jiménez
4212,Manuel Lanzarote
4214,Sekou Keita
4220,Sergio Aguza
4222,Daniel Iglesias
4224,Edu Payá
4225,José Carlos
4228,Marcos Remeseiro
4230,Iago López
4251,Sebastian Mielitz
4254,Fabian Kalig
4269,Daniel Lück
4284,Alexander Brunst
4292,Robert Almer
4298,Mohammed Abdellaoue
4303,Axel Borgmann
4305,Zhang Xizhe
4306,Patrick Drewes
4308,Christian Wetklo
4310,Khaled Narey
4314,Lucas Cueto
4318,Filip Daems
4319,Thorben Marx
4320,Marco Schuster
4321,Bastian Kurz
4322,Sven Mende
4324,Ivan Lucic
4326,Sebastian Ernst
4327,Zlatan Alomerovic
4331,Rico Strieder
4332,Karim Haggui
4337,Timo Königsmann
4341,Maik Uhde
4343,Dominik Reimann
4350,Marc Hornschuh
4351,Raif Husic
4357,Damian Roßbach
4359,Lucas-Julian Scholl
4364,Nico Brandenburger
4365,Tomas Kalas
4368,Dominik Reinhardt
4369,Florian Ballas
4375,Fabian Pietler
4380,Marian Sarr
4382,Hany Mukhtar
4407,Russell Griffiths
4417,Jake Flannigan
4424,Matthew Gilks
4449,Liam Agnew
4451,Wilson Palacios
4452,Andy Wilkinson
4453,Jordan Williams
4458,Michael Petrasso
4459,Brian Murphy
4465,Lubomir Satka
4466,Frankie Sutherland
4470,Raheem Hanley
4474,Aaron Mitchell
4477,Thomas Sørensen
4478,Manny Onariase
4480,Adil Nabi
4482,Brad Friedel
4484,Lewis Kinsella
4486,Mitchell Beeney
4494,Chris Herd
4496,Cabral
4498,Adam Smith
4502,Remie Streete
4504,Riccardo Calder
4506,David Cornell
4509,Liam Shephard
4511,Rory Watson
4512,Charalampos Mavrias
4514,Luke Daniels
4516,Steven Hewitt
4517,Cristian Ceballos
4518,Dominic Ball
4519,Marnick Vermijl
4520,Paddy McCarthy
4521,Ryan Ledson
4522,Sebastian Lletget
4523,Andrew Johnson
4524,Jos Hooiveld
4526,Ben Amos
4527,Reece James
4529,Josh Sheehan
4533,Tom Hopper
4534,Liam O'Neil
4535,Karim El Ahmadi
4537,Cameron Dummigan
4579,Maksim Klikin
4587,Ivan Chudin
4594,Eduard Baychora
4603,Artem Yarmolitsky
4618,Igor Lambarschi
4618,Igor Lambarschi
4621,Igor Kot
4626,Goran Blazevic
4630,Shadrin
4637,Artem Katashevsky
4638,Kirill Kostin
4649,Dmitri Nikitinskiy
4650,Aleksey Skornyakov
4651,Valery Alshansky
4652,Nikita Sorokin
4655,Nikita Permjakov
4658,Konstantin Kertanov
4660,Aleksander Marchenko
4662,Dmitri Sysuev
4663,Alexander Seraskhov
4664,Ruslan Galiakberov
4668,Bogdan Karuykin
4669,Gonzalo Bueno
4675,Edgaras Cesnauskis
4677,Anton Lazutkin
4679,Alexander Leykin
4680,Vahyt Orazsakhedov
4681,Artem Leonov
4684,Vsevolod Ermakov
4685,Ivan Kluyev
4686,Daniel Yaschuk
4689,Inal Getigezhev
4690,Nikita Bocharov
4691,Arsen Goshokov
4692,Shota Bibilov
4696,Marco Ureña
4697,Aleksandr Ageev
4698,Maksim Starkov
4707,Damien Perquis
4720,Johann Durand
4760,Romuald Lacazette
4796,Christophe Vincent
4800,Baptiste Valette
4808,Mayindou Madianga
4810,Hugo Guichard
4814,Maxence Chapuis
4815,Jonathan Beaulieu
4817,Maxime Borges
4822,Momar Bangoura
4827,Zakariya Abarouai
4829,Djibril Dianessy
4831,Zana Allée
4835,Goncalves Nogueira
4843,Gjoko Zajkov
4847,Jeremi Kimmakon
4852,Dylan Mboumbouni
4854,Wesley Jobello
4857,Enzo Reale
4858,Abdou Aziz Thiam
4861,Fabien Garcia
4862,Paulo Henriques de Pinho
4863,Pierre Lavenant
4868,Teddy Chaouche
4872,Clement Badin
4873,Florian David
4874,Steve Shamal
4876,Jerrold Nyemeck
4877,Florent Ghisolfi
4878,Nassim Badri
4879,Luka Kikabidze
4885,David Sambissa
4888,Romain Achilli
4893,Benoit Cheyrou
4898,Rigoberto Rivas
4899,Franck Djoulou
4900,Luca Scordino
4901,Filip Vaško
4909,Gergely Hutvágner
4910,Leandrinho
4915,Andrea Mastino
4916,Riccardo Daga
4919,Raul Zucchetti
4926,Abukar Mohamed
4927,Cassio Cardoselli
4928,Marius Adamonis
4931,Giordano Trovade
4944,Michele Troiani
4945,Mohamed Rabbas
4946,Andre Isufaj
4947,Cesare Pogliano
4948,Edoardo Bovolon
4949,Luca Magnino
4950,Simone Franchini
4953,Fabio Maistro
4954,Riccardo Baroni
4958,Alessandro Quaini
4960,Alberto Parpinel
4961,Andrea Tessiore
4962,Pietro Cavagnaro
4963,Denis Petro
4964,Thomas Mascarenhas
4965,Mirko Bizzi
4966,Vasco Oliveira
4967,Alessandro Guarnone
4969,Diego Faccioli
4971,Lorenzo Crisanto
4972,Emanuele Spinozzi
4973,Francesco Mele
4974,Simone Mancini
4976,Leonardo Sarzi Maddidini
4977,Elia Giampa
4978,Lapo Carradori
4979,Davide Seminara
4980,Bryan Costa
4982,Andrea Punzi
4985,Michal Tomic
4986,Andrea Romagnoli
4987,Samuele Guddo
4988,Duje Javorcic
4989,Edoardo Sbampato
4990,Marius Marin
4991,Leonardo Vitali
4992,Davide Buglio
4993,Stefano Greco
4994,Manuel Nicoletti
4995,Mattia Cozzari
4996,Ibourahima Baldé
4997,Illia Briukhov
4998,Raul Oprut
4999,Matteo Rossetti
5000,Emanuele Monari
5001,Matias Antonini Lui
5002,Nicholas Pennington
5003,Davide Arras
5004,Francesco Forte
5005,Piermarco D'Angelo
5006,Francesco Scavo
5007,Davide Borsellini
5008,Filippo Pavoni
5010,Bismark Ngissah
5011,Leonardo Loria
5012,Francesco Bonfiglio
5013,Martin Remacle
5014,Alberto Reinaudo
5016,Fabrizio Brignani
5017,Sebastian Breza
5018,Vincenzo Silvestro
5019,Denis Baumgartner
5020,Alex Coppola
5021,Simone Ghidotti
5022,Mattia El Hilali
5023,Marco Milanese
5024,Filippo Berardi
5027,Massimo Tazzer
5029,Andrea Cadili
5030,Marco Pompetti
5053,Pepe Mena
5072,Rafael Muñoz
5122,Álex García
5123,Juan Moreno
5137,Álex Muñoz
5147,Josué Dorrio
5151,Cristian Salvador
5156,André Moreira
5161,Roberto Olabe
5163,Roberto Núñez
5165,Àlex Carbonell
5168,Zakaria Boulahia
5175,Whalley
5182,Toni Dovale
5183,Álvaro Molina
5189,Vinícius Araújo
5190,Quique Cebriá
5193,Iu
5200,Eric Curbelo
5208,Manu Barreiro
5213,Pablo Larrea
5218,Giuseppe Leo
5227,Nicolas Feldhahn
5229,Raphael Obermair
5237,Leon Bätge
5268,Patric Klandt
5271,Lukas Watkowiak
5275,Justin Eilers
5276,Leo Weinkauf
5285,Marius Müller
5301,Igor Berezovskyi
5307,Mike Feigenspan
5314,Hikmet Ciftci
5315,Patrick Sussek
5316,Marcus Mlynikowski
5318,Dominik Franke
5319,Benjamin Bellot
5320,Noel Knothe
5325,Christian Ortag
5331,Zsolt Kalmár
5334,John-Patrick Strauß
5335,Kamil Wojtkowski
5336,Furkan Zorba
5337,Juan Miguel Blanco-Lopez
5338,Fabian Benko
5339,Phil Neumann
5342,Lucas Hufnagel
5344,Hauke Wahl
5348,Enis Bunjaki
5349,Atakan Akkaynak
5354,Nils Rütten
5357,Besar Halimi
5359,Deji-Ousman Beyreuther
5362,Fabijan Buntic
5363,Matthias Hamrol
5366,Atinc Nukan
5367,Erdal Öztürk
5378,Aleksei Berezin
5386,Denis Vambolt
5387,Anton Googe
5407,Sandro Tsveiba
5447,Dmitri Kudryashov
5450,Ivan Komissarov
5451,Andrej Sorokin
5455,Pavel Ovchinnikov
5465,Maxim Pavlov
5472,Ilya Altysh
5473,Mihail Borodko
5476,Rustam Vazitdinov
5481,Georgiy Kyurdzhiev
5490,Viktor Patrashko
5493,Maksym Bily
5503,Evgeny Latyshonok
5508,Ibragim Gaziev
5511,Yuri Kuzmin
5514,Alexander Stolyarenko
5515,Yuriy Shleev
5519,Andrius Rukas
5521,Rashid Magomedov
5523,Roman Izotov
5525,Ivan Khomukha
5527,Aleksandr Morgunov
5531,Andrey Sidenko
5533,Idris Musluev
5534,Anton Fedyushkin
5537,Dmitriy Khristis
5539,Shamsiddin Shanbiev
5546,Mateusz Hewelt
5546,Mateusz Hewelt
5547,Joe Williams
5561,Eduardo
5564,Elliot Embleton
5566,Moses Makasi
5570,Elliott Moore
5572,Samuel Shashoua
5577,Dael Fry
5578,Carl Stewart
5579,Matthew Willock
5580,Stuart Taylor
5581,Ethan Robson
5582,Noor Husin
5583,Michael Phillips
5585,Charlie Rowan
5588,Joel Taylor
5589,Alex Pike
5591,Michael Ledger
5592,Harry Lewis
5594,Thibaud Verlinden
5599,Kieran O'Hara
5600,Zachary Dearnley
5604,Daniel Batty
5605,Daniel Kemp
5610,Jean Butez
5683,Gaëtan Robail
5747,Theodore Efouba Ayissi
5756,Carlens Arcus
5758,Yvan Inzoudine
5765,Romain Cagnon
5775,Alexandre Menay
5779,Valentin Vanbaleghem
5780,Valere Pollet
5781,Pierrick Fito
5782,Lucas Triki
5783,Joakim Balmy
5788,Benjamin Aulagnier
5792,Alexis Larriere
5797,Ronan Touzet
5798,Jorris Romil
5799,Alexis Guendouz
5801,Christopher Operi
5802,Fodé
5807,Clement Michelin
5808,Alexandre Lavenant
5809,Victor Mouangue Kingue
5811,Alessandro Speri
5813,Valerio Mantovani
5814,Loris Zonta
5815,Razvan Popa
5816,Filippo Damian
5817,Andrea Morello
5818,Ionut Pop
5819,Andrea Liotti
5820,Andres Llamas Acuna
5822,Mattia Cella
5823,Alen Stevanovic
5824,Silvio Anocic
5826,Edoardo Oneto
5827,Leonardo Serinelli
5828,Enrico Vencato
5829,Luca Ceccarelli
